var,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl
day.below.zero.ground,size,yes,745.569352032317,695.307260610236,803.822855286564,0.0102375824015275,-0.0485124636446371,0.0726609992669147,-0.0359565153142131,-0.129910095497448,0.050587176482616,0.145610809233573,-0.0629934202370683,0.348568015858987
day.snow.cover0,size,yes,741.797699529859,689.049490858128,798.036630364467,-0.118464452285978,-0.179630564472174,-0.0577831292824174,-0.0400626649627767,-0.137075239231744,0.0477078651876445,0.148872112038542,-0.0649572128139315,0.373835905321458
day.snow.cover3,size,yes,738.992213621699,689.648545710099,796.61022837405,-0.219267933812184,-0.305702568958934,-0.138103843094481,-0.039425416238931,-0.135058200679063,0.0437103974744238,0.155022039229543,-0.0514556163279606,0.389464136968204
day.snow.cover5,size,yes,738.200900723849,685.799304148728,794.332643846263,-0.272533123116973,-0.380814991332978,-0.165654010592162,-0.0405460696046801,-0.136737856328004,0.0496239010786819,0.160551965831226,-0.0571775212120421,0.379456281161943
mean.precip,size,yes,746.418750846613,695.027147107432,801.68328884997,0.0874268128691399,-0.111130781800576,0.293434184984002,-0.0369426872291011,-0.129240553750149,0.0486324641315663,0.140287978486527,-0.0645575565966225,0.338075075338126
mean.snow.cover,size,yes,737.613052926192,688.893786811348,793.309341316041,-0.271877304030533,-0.374023601286622,-0.16879049845563,-0.0383488527976721,-0.134169959869118,0.0464355722653514,0.156163331873434,-0.0567529464783734,0.378430202697289
mean.temp,size,yes,744.889961035003,693.183709854873,802.41371003262,0.0363782662508237,-0.0128641906625399,0.0850789594432297,-0.0358424279410426,-0.134065761677723,0.0509984197671413,0.147766783225766,-0.066929656716283,0.366611629285163
mean.temp.ground.min,size,yes,745.397794127658,694.035182578521,802.587931665707,0.025723792366034,-0.0240573431875666,0.0750370463714658,-0.0373985798811595,-0.134062850587738,0.0492893385250397,0.145802027039585,-0.0642660697324902,0.373677753614292
mean.temp.max,size,yes,742.577645445359,691.562030493306,800.076908859133,0.0376780184830745,-0.00338951071173402,0.0761911498699231,-0.0361452155381963,-0.13604354048837,0.0534382215477429,0.148014560604728,-0.0570433158562392,0.364900380975258
mean.temp.min,size,yes,743.283861828189,692.910496379665,802.863624855131,0.0358035448175666,-0.0168660755319474,0.085849877225176,-0.0368156555328393,-0.134488188174735,0.0499085427467741,0.151338587351293,-0.0677809389169479,0.371352984496876
total.precip,size,yes,745.254999874085,693.076652659534,801.875120416955,0.00662341044542577,-0.00743337460507296,0.0218924262169587,-0.0343899483202939,-0.130355816031828,0.0488357454690204,0.143270200912732,-0.065885004461607,0.355332200581567
day.below.zero.ground,mass,yes,746.269105170157,694.251121133088,803.047043133329,0.00850706919866322,-0.0522128560468531,0.0729187086497804,0.00419404503785139,-0.0135191624466961,0.0216118382571008,0.162662002594631,-0.0574959237634317,0.371595245225583
day.snow.cover0,mass,yes,742.642159702941,690.823704626586,800.084717424522,-0.117223971453712,-0.180345334191725,-0.0569686490517065,0.00354027807446681,-0.0135380704003382,0.0219057527197288,0.165277458776622,-0.0484514136137802,0.392608454359656
day.snow.cover3,mass,yes,737.306875098055,686.863516703938,793.761166733819,-0.218523772840187,-0.305438935653438,-0.136437495753848,0.00304973149282176,-0.0147741609100084,0.0206608524450153,0.180554524681872,-0.0306731268896737,0.406298774984498
day.snow.cover5,mass,yes,738.501953707504,687.150927095351,795.35490884794,-0.270980712711815,-0.378245772537624,-0.170392907045289,0.00304502371279398,-0.0142320480261746,0.0202480990379678,0.172308150290153,-0.0401632625392768,0.393607729667982
mean.precip,mass,yes,744.914004150058,694.250537626452,802.163935626287,0.0882265022284823,-0.112259207535433,0.304947039403656,0.00391050021740167,-0.0126550497984008,0.020913555157761,0.159939096194248,-0.0506744708339668,0.378918178000681
mean.snow.cover,mass,yes,737.738593282893,687.06110733683,794.60947590906,-0.271445375272322,-0.373528369488788,-0.167859191623982,0.00316894076255673,-0.0142491450918547,0.0210142454862921,0.17006786045304,-0.044362058429662,0.400027593594171
mean.temp,mass,yes,743.224156638414,690.904281826032,800.733539031844,0.0347841758293975,-0.011345363659922,0.0793125259979041,0.00394451403940055,-0.012452697734154,0.0212752257780512,0.158543480821311,-0.0454276353201456,0.368487021379167
mean.temp.ground.min,mass,yes,745.386935636309,693.703202864182,801.644289707615,0.0261649680518633,-0.024311640118743,0.0776344717746265,0.00434252808588684,-0.0126987904670143,0.0219769685159604,0.168392657874019,-0.0509131928489787,0.40025850498523
mean.temp.max,mass,yes,742.773575665044,690.915872786802,799.945916628377,0.036930073218242,-0.00694760584330158,0.0794841637499843,0.00411096499865892,-0.013440343787237,0.021715177632992,0.162651682587862,-0.0505688148660029,0.39566245681832
mean.temp.min,mass,yes,744.793123980578,692.90929448713,802.153276610308,0.0342262362141168,-0.0186533982851884,0.086630087713618,0.00391692357464346,-0.0132267396151812,0.0215794041133461,0.15933229795743,-0.0453094339505189,0.373262192295645
total.precip,mass,yes,745.715385147036,692.168690914466,803.40867674002,0.00630185198364493,-0.00788877373379306,0.0215530135490778,0.00414733917171218,-0.0125530230572639,0.02142903005549,0.160224334019397,-0.0583023590967143,0.368714421060496
